"actors","Embedding1","Embedding2","Embedding3"
"Al-BlazaEthnicMilitia(Libya)",-8.27142520377702,-54.9377924648748,-0.907796281563391
"Al-BugraCommunalMilitia(Libya)",-0.0727884852943715,-46.3070446702248,-2.69808690989738
"Al-BuniBrigade",-8.27126559855423,-57.8979642199917,-3.00581441208879
"Al-BurayqahMartyrsBrigade",-2.11816030941001,-47.5522673903696,-0.646151699770425
"Al-FalataEthnicMilitia(Sudan)",23.4192963762939,50.8914971623643,-30.5535483030076
"Al-Gamaaal-Islamiyya",-9.05639780490283,50.2215795976363,9.45534612515228
"Al-GamirEthnicMilitia(Sudan)",11.9020322518364,38.0460353021263,-35.8774405750091
"Al-KanniBrigade",-8.19643070101278,-58.4313517719872,-0.718094719300019
"Al-KebaBrigade",12.9431457747272,8.27472907963074,-17.6343115773209
"Al-Morabitoon",-2.40775395920671,9.8443182120548,20.734452478953
"Al-Muhaajiriin",5.81816151610036,9.21733687309468,-37.0582076720634
"Al-RaqaiatEthnicMilitia(Libya)",-1.31336566480229,14.33170044977,-17.5169092508495
"Al-RashiydahEthnicMilitia(Sudan)",2.41064470317934,-9.74216211564366,-39.0861321395726
"Al-RuayahEthnicMilitia(Sudan)",21.6037923868496,6.0609539042087,-13.5799366271085
"Al-SaadaEthnicMilitia(Sudan)",-17.2356298199241,12.4813716202522,-12.184776983598
"Al-SalafiyaAlJihadia",14.6364004099625,-9.4514894198592,15.8708491054319
"Al-ShabibaAl-Islamiyah",-24.8182344872497,-0.685480341476557,61.757221509002
"Al-ShourafaEthnicMilitia(Libya)",0.983805185197796,4.22451055363072,3.91048264866017
"Al-SunnawalJammaMilitia",25.0525542093032,28.6713521558368,-7.55955649903422
"Al-TajinBattalion",-10.9703493876135,16.4170953031374,17.0815302010432
"Al-TakfirwalHijrah",-8.75870875873127,49.8051993641519,9.19277872875575
"Al-WadiBrigade",-13.3175223030656,14.188756494496,-13.304958936387
"AladjaCommunalMilitia(Nigeria)",48.1321985351141,34.233351381075,3.51005453252208
"AlAdlWaAlIhssane",1.69859511104718,-26.9410709797843,-23.4557120791174
"AlafiaAbilbaClanMilitia(Ghana)",16.9801868003156,-10.5052423908632,10.2011197916315
"AlagoEthnicMilitia(Nigeria)",32.5027277728275,6.47849865704467,-3.48043165293394
"AlavanyoEthnicMilitia(Ghana)",-14.6461222436099,-39.0110322839176,-23.3247019163645
"AlAwaqeerClanMilitia(Libya)",-8.13144558534242,14.5552640594842,-6.5361253386047
"AlDamanBrigade",29.7717947960335,-3.24930066388925,2.44326415377734
"AlesiCommunalMilitia(Nigeria)",-14.0971148159151,-10.0939301892215,43.711132186197
"AlFarouqBrigade",-3.66328343100686,-45.7786573949123,-3.73972161768184
"AlFiharaCommunalMilitia(Libya)",-10.9350714919227,-9.98243452302328,-1.44744811509706
"AlFurqanBattalion",7.65138598178289,-16.2530841268795,0.615679253071861
"AlhajiArdoMilitia",5.39827961693399,-7.44966693335555,7.75812338847133
"AlHasawnaEthnicMilitia(Libya)",-15.3347702786755,18.4921258036327,54.7380106191296
"AlHasoomBrigade",-10.1245746221749,-3.22702892934318,72.6591804274819
"AlHijraMuslimYouthCentreMilitia",-16.7746666724704,39.0933313577677,-26.9776305829567
"AlHwayaCommunalMilitia(Tunisia)",3.18101524259006,1.26002275478063,58.5060132284576
"AliabClanMilitia(SouthSudan)",16.9512383895205,-4.89473246948806,9.64764476204386
"Aliamtoc-Dhiei-AgarSub-ClanMilitia(SouthSudan)",55.8147282927825,-37.3224342478632,-6.41860859213646
"Aliap-Akook-RekSub-ClanMilitia(SouthSudan)",-4.97953148618076,-2.95991587550497,-6.37822120571971
"Aliap-Thiik-RekSub-ClanMilitia(SouthSudan)",48.8643764851101,-33.550311620023,-2.64945922071811
"AliapClanMilitia(SouthSudan)",55.9828033666267,-36.9677665750683,-5.76144824655444
